the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000009B012EC896C452C086E28E37F9014440,0101000020110F0000DF760FF013E15FC1E64F31C215925241,7432896,2019,201915073051.0,411,2019-07-19 00:00:00+00,23:23:00,B,M,25,Multiple,N,N,N,5100 BLOCK Glenloch St,0,-75.071703,40.015418,15,0,1,0,40.015418,-75.071703
0101000020E6100000F30D5C50A5C352C05129FA6CB2014440,0101000020110F0000AE63ABC779DF5FC1FD2BC741C7915241,7432897,2019,201915074334.0,411,2019-07-23 00:00:00+00,13:12:00,B,M,22,Multiple,N,N,N,5900 BLOCK Tacony St,0,-75.05696496,40.01325762,15,0,1,0,40.01325762,-75.05696496
0101000020E610000064FD6ED3C2C452C01909E900F3014440,0101000020110F00001EB336C05EE15FC1D1D445DE0E925241,7432898,2019,201915076764.0,300,2019-07-30 00:00:00+00,04:02:00,W,M,20,Neck,N,N,N,1900 BLOCK Wakeling St,1,-75.07439123,40.01522838,15,0,1,0,40.01522838,-75.07439123
0101000020E6100000353BF7C374C252C0A848CF3E20034440,0101000020110F000055154D7974DD5FC1113666F25C935241,7432899,2019,201915077160.0,211,2019-07-31 00:00:00+00,02:53:00,W,M,34,Leg,N,N,N,7000 BLOCK Keystone St,0,-75.0383768,40.02442155,15,0,1,0,40.02442155,-75.0383768
0101000020E61000003666653D2DC552C0DFA4AB6C86024440,0101000020110F0000F1A86D8113E25FC15843695AB2925241,7432900,2019,201915079210.0,411,2019-08-05 00:00:00+00,13:30:00,W,F,67,Ankle,N,N,N,1600 BLOCK Allengrove St,1,-75.08088622,40.01972731,15,0,1,0,40.01972731,-75.08088622
0101000020E6100000E0EFDD075CC552C0727E714620024440,0101000020110F0000820411FC62E25FC18CC1621241925241,7432901,2019,201915079422.0,411,2019-08-06 00:00:00+00,02:31:00,B,M,19,Back,N,N,N,4600 BLOCK Frankford Ave,0,-75.08374211,40.01660996,15,0,1,0,40.01660996,-75.08374211
0101000020E61000004554D95E28C452C0A985F5F3E4014440,0101000020110F000077428D6458E05FC1DF7E8449FF915241,7432902,2019,201915081396.0,413,2019-08-11 00:00:00+00,01:00:00,B,M,19,Chest,N,N,N,5500 BLOCK TORRESDALE AVE,0,-75.06496402,40.01479959,15,0,1,0,40.01479959,-75.06496402
0101000020E61000007A1F811E2EC352C06EBC01874C044440,0101000020110F000089DCD050AFDE5FC107C98201AA945241,7432903,2019,201915081730.0,411,2019-08-12 00:00:00+00,02:17:00,B,M,16,Chest,N,N,N,3300 BLOCK LONGSHORE AVE,0,-75.04968989,40.03358543,15,0,1,0,40.03358543,-75.04968989
0101000020E610000014D5539212C252C0F98788F60C044440,0101000020110F000094307EAECDDC5FC1C5E9DF7F63945241,7432904,2019,201915082429.0,411,2019-08-13 00:00:00+00,21:45:00,B,M,25,Foot,N,N,N,7400 BLOCK TORRESDALE AVE,0,-75.03238352,40.0316456,15,0,1,0,40.0316456,-75.03238352
0101000020E61000000F536C16F9C252C0A55478865F044440,0101000020110F000076C9793C55DE5FC164F13914BF945241,7432905,2019,201915083463.0,411,2019-08-17 00:00:00+00,00:13:00,B,M,43,Stomach,N,N,N,7000 BLOCK Frankford Ave,0,-75.0464531,40.0341652,15,1,0,0,40.0341652,-75.0464531
0101000020E610000084A72590F1CA52C01E907C0CF3FD4340,0101000020110F0000EAA86D30DFEB5FC1AEF43BA29F8D5241,7433311,2019,201922060905.0,411,2019-07-15 00:00:00+00,00:33:00,B,F,46,Multiple,N,N,N,1900 BLOCK N Croskey St,0,-75.17099384,39.98397976,22,0,1,0,39.98397976,-75.17099384
0101000020E6100000263640E5EFCA52C0719E1CCB5CFE4340,0101000020110F000081564D5BDCEB5FC1A42EA4D8148E5241,7433312,2019,201922061284.0,411,2019-07-09 00:00:00+00,06:45:00,B,M,35,leg,N,N,N,2300 BLOCK EDGLEY ST,0,-75.17089206,39.98720683,22,0,1,0,39.98720683,-75.17089206
0101000020E6100000F34DC38576CA52C035B52A915DFD4340,0101000020110F000046D140310EEB5FC142B547F3F98C5241,7433313,2019,201922061840.0,411,2019-07-18 00:00:00+00,02:09:00,B,M,21,Foot,N,N,N,Bouvier & Cecil B Moore,0,-75.16348404,39.97941794,22,0,1,0,39.97941794,-75.16348404
0101000020E610000089E1138039CB52C05994C8F4BAFE4340,0101000020110F0000C356BD6159EC5FC18BECBD397D8E5241,7433314,2019,201922063084.0,111,2019-07-21 00:00:00+00,22:54:00,B,M,58,Chest,N,N,N,2200 BLOCK N 26th St,0,-75.17538454,39.99008046,22,0,1,1,39.99008045,-75.17538454
0101000020E6100000CFA4C99C19CC52C0968F49EB94FE4340,0101000020110F00009B960F0FD6ED5FC10E599B0F538E5241,7433315,2019,201922064061.0,411,2019-07-24 00:00:00+00,22:05:00,B,M,30,Leg,N,N,N,3300 BLOCK W Diamond St,0,-75.18906326,39.98891965,22,0,1,0,39.98891965,-75.18906326
