race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,race_cat,gender_cat,O,C,E,A,N,E_pct,A_pct,C_pct,N_pct,O_pct
3,20,1,2,1,1,US,5,4,4,5,5,5,5,5,5,3,2,3,2,1,5,2,1,1,2,2,5,5,2,4,5,5,5,5,5,4,2,1,1,2,1,1,1,5,1,1,5,5,4,5,4,5,4,5,5,4,Caucasian (European),female,46,16,46,45,21,96,80,0,19,86
3,15,1,2,2,1,GB,1,2,3,2,3,3,1,1,1,1,3,3,2,3,5,3,2,4,2,2,2,3,3,3,3,5,1,3,3,3,2,1,3,1,1,2,3,1,2,3,2,3,4,3,2,3,3,1,3,3,Caucasian (European),female,27,19,18,29,29,10,10,2,50,3
3,46,1,2,2,3,US,1,4,3,3,3,5,1,2,2,3,2,2,1,1,2,1,2,2,3,1,5,3,5,5,3,4,2,2,5,3,5,4,5,5,2,5,5,5,4,5,5,5,4,3,3,4,5,5,5,3,Caucasian (European),female,42,45,27,37,17,37,37,93,8,64
3,15,1,1,1,1,GB,1,1,2,1,2,4,2,3,4,1,5,4,2,2,4,4,4,4,4,2,5,5,2,5,4,5,4,5,5,1,5,5,5,1,2,4,5,4,2,5,5,2,5,5,5,5,5,5,2,5,Caucasian (European),male,44,38,21,41,35,18,59,72,74,75
3,18,1,2,2,2,US,2,3,3,3,4,5,1,3,1,3,4,4,3,2,3,4,2,3,4,2,5,4,5,4,5,4,4,4,4,5,4,5,4,3,2,4,3,4,4,3,5,5,5,5,4,5,4,4,4,5,Caucasian (European),female,46,36,28,44,31,41,76,62,58,86
3,42,1,1,1,3,US,2,2,2,2,2,3,3,2,2,1,3,4,3,3,3,4,4,5,3,4,2,3,4,3,4,3,3,2,3,2,3,1,3,2,1,1,2,3,2,4,5,5,3,5,5,4,4,5,5,4,Caucasian (European),male,45,22,21,29,36,18,10,6,77,81
3,27,1,2,1,1,US,1,4,2,2,2,4,1,2,2,1,3,4,1,3,2,4,3,4,3,4,5,4,4,4,4,4,5,4,4,3,4,4,5,4,5,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,Caucasian (European),female,39,41,21,41,31,18,59,83,58,46
1,17,1,1,1,1,US,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,Mixed Race,male,50,42,46,18,50,96,1,86,99,98
8,17,1,2,1,5,US,4,4,3,3,3,4,5,3,5,1,1,2,1,4,1,1,1,3,1,4,4,5,4,4,4,5,4,5,3,3,4,5,4,1,5,4,5,5,4,3,2,4,1,5,3,5,4,4,5,2,Native American,female,35,40,35,41,19,68,59,80,13,25
6,17,1,2,1,5,US,2,3,2,2,2,4,2,2,3,1,3,3,2,3,2,3,2,4,2,3,3,3,4,4,3,4,3,3,3,3,4,4,5,3,2,3,4,3,2,3,3,3,4,3,4,4,4,2,4,5,"Caucasian (North African, Other)",female,36,33,23,33,27,23,20,47,42,29
13,60,1,2,1,5,US,3,5,5,5,5,5,5,5,5,5,4,2,1,1,1,2,1,2,1,1,5,5,1,5,1,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,2,5,5,Other,female,43,48,48,40,16,98,54,98,6,70
3,27,1,2,1,2,CA,1,3,4,1,3,3,3,1,1,1,2,2,1,3,2,1,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,2,4,3,2,2,3,4,4,4,4,3,5,2,3,5,5,4,5,2,Caucasian (European),female,38,33,21,50,20,18,98,47,16,40
3,19,1,2,1,2,US,4,4,4,3,5,4,5,4,5,3,1,2,2,2,2,3,3,3,3,2,5,4,4,4,4,3,5,3,5,4,5,3,3,3,4,3,5,5,5,5,5,4,4,4,5,5,4,4,4,5,Caucasian (European),female,44,41,41,41,23,86,59,83,26,75
3,20,1,1,1,1,US,1,1,2,1,2,3,1,2,2,1,3,4,3,3,4,4,4,4,2,3,2,3,2,2,3,2,2,3,3,3,3,3,4,4,2,3,3,3,2,4,4,3,5,3,3,4,3,3,4,3,Caucasian (European),male,35,31,16,25,34,7,5,37,70,25
4,19,1,1,1,1,IN,2,3,5,4,5,4,3,4,5,5,5,2,4,3,5,5,5,5,5,3,1,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,3,5,4,5,5,1,5,4,Caucasian (Indian),male,40,49,40,41,42,83,59,98,92,52
13,26,2,2,1,1,US,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,5,4,3,5,4,4,4,3,1,2,2,1,1,1,3,1,3,2,5,4,5,5,4,5,2,5,5,4,Other,female,44,17,10,37,12,0,37,1,1,75
6,24,2,1,1,1,MX,1,4,3,1,4,5,1,3,4,2,2,3,1,3,2,2,2,2,1,3,2,3,1,4,5,5,3,3,3,2,4,1,4,2,1,2,3,2,2,3,4,4,5,4,5,3,5,4,4,5,"Caucasian (North African, Other)",male,43,24,28,31,21,41,14,10,19,70
3,19,1,2,2,1,US,1,2,2,2,1,4,1,2,2,1,1,2,1,2,4,2,1,2,3,3,4,4,3,5,4,4,4,3,4,2,4,3,5,2,2,2,5,4,4,4,4,3,4,3,3,4,4,3,4,4,Caucasian (European),female,36,35,18,37,21,10,37,57,19,29
3,18,1,2,1,5,GB,2,3,2,1,2,5,1,3,5,1,1,2,1,2,1,1,1,1,1,1,3,2,3,2,3,5,3,3,3,3,1,1,3,1,3,1,3,1,2,4,5,3,5,2,5,5,4,5,5,5,Caucasian (European),female,44,20,25,30,12,30,12,3,1,75
3,14,1,2,1,1,US,2,4,2,4,4,5,2,4,2,2,2,3,2,2,3,1,2,2,2,4,2,4,2,2,4,3,5,3,3,2,2,3,5,3,1,1,2,3,2,3,5,4,4,4,4,4,3,4,5,5,Caucasian (European),female,42,25,31,30,23,53,12,12,26,64
13,25,2,2,1,1,IN,2,5,4,4,4,5,1,2,2,3,1,3,4,2,4,4,5,5,4,4,5,5,5,5,4,4,5,2,5,5,5,5,4,5,5,5,2,5,4,4,3,4,1,4,2,5,4,1,4,4,Other,female,32,44,32,45,36,57,80,91,77,13
3,47,1,1,1,1,US,4,5,3,5,2,5,4,2,4,2,2,3,2,3,4,3,2,3,3,3,4,5,4,2,1,4,3,3,1,3,5,2,4,5,3,5,5,5,4,4,5,5,4,5,5,5,4,5,3,5,Caucasian (European),male,46,42,36,30,28,71,12,86,46,86
