FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column
CVS PHARMACY #1960,1279 W MAIN ST,WATERBURY,CT,06708-3101,1676977,false,POINT (-73.06434 41.552145)
THOMASTON POLICE DEPARTMENT,158 MAIN ST,THOMASTON,CT,06787-1744,1332018,true,POINT (-73.072593 41.674456)
GREENWICH POLICE DEPARTMENT,11 BRUCE PL,GREENWICH,CT,06830-6535,1035891,true,POINT (-73.624672 41.025359)
NEW BRITAIN POLICE DEPARTMENT,10 CHESTNUT ST,NEW BRITAIN,CT,06051-2654,1349023,true,POINT (-72.781313 41.66566)
CVS PHARMACY #123,519 BOSTON POST RD,OLD SAYBROOK,CT,06475-1526,2154041,true,POINT (-72.375675 41.299259)
DESPP DIVISION OF STATE POLICE TROOP A,90 LAKESIDE RD,SOUTHBURY,CT,06488-2508,1343027,true,POINT (-73.233696 41.456947)
COLCHESTER RESIDENT TROOPERS OFFICE,127 NORWICH AVE,COLCHESTER,CT,06415-1230,1064593,true,POINT (-72.327985 41.574632)
NEWINGTON POLICE DEPARTMENT,131 CEDAR ST,NEWINGTON,CT,06111-2644,1181426,true,POINT (-72.728994 41.69686)
EAST HARTFORD POLICE DEPT,31 SCHOOL ST,E  HARTFORD,CT,06108,1121660,true,POINT (-72.611324 41.780422)
TRUMBULL POLICE DEPARTMENT,158 EDISON RD,TRUMBULL,CT,06611-4139,1191675,true,POINT (-73.218714 41.234989)
SOMERS POLICE DEPARTMENT,451 MAIN ST,SOMERS,CT,06071-2051,1234907,true,POINT (-72.459681 41.984191)
WATERTOWN POLICE DEPARTMENT,195 FRENCH ST,WATERTOWN,CT,06795-2921,1078793,true,POINT (-73.106733 41.597995)
DESPP DIVISION OF STATE POLICE TROOP K,15A OLD HARTFORD RD,COLCHESTER,CT,06415-2714,1342184,true,POINT (-72.408649 41.602402000000005)
CVS PHARMACY #718,24 PERSHING DR # 36,ANSONIA,CT,06401-2214,1676461,false,POINT (-73.083826 41.33337)
LEDYARD POLICE DEPARTMENT,737 Colonel Ledyard Highway,LEDYARD,CT,06339,1187123,true,POINT (-72.017 41.442079)
WOODBRIDGE POLICE DEPARTMENT,4 MEETINGHOUSE LANE,WOODBRIDGE,CT,06525,1421704,true,POINT (-73.012425 41.354375)
CVS PHARMACY #364,308 MAIN STREET EXT,MIDDLETOWN,CT,06457-4406,1676968,false,POINT (-72.64056 41.549005)
CHESHIRE POLICE UNION,500 HIGHLAND AVE,CHESHIRE,CT,06410-2249,1115844,true,POINT (-72.899175 41.511207)
NORWICH POLICE DEPARTMENT,70 THAMES ST,NORWICH,CT,06360-5646,1157341,true,POINT (-72.081757 41.522143)
MANCHESTER POLICE DEPARTMENT,239 MIDDLE TPKE E,MANCHESTER,CT,06040-4358,1058229,true,POINT (-72.511894 41.783609)
PUTNAM POLICE DEPARTMENT,189 CHURCH ST,PUTNAM,CT,06260-1537,1163781,true,POINT (-71.91069 41.920588)
DESPP DIVISION OF STATE POLICE TROOP F,315 SPENCER PLAINS RD,WESTBROOK,CT,06498-3509,1342890,true,POINT (-72.429886 41.29266)
DANBURY POLICE DEPARTMENT,375 MAIN STREET,DANBURY,CT,06810,1453343,true,POINT (-73.458409 41.400377)
GUILFORD POLICE DEPARTMENT,400 CHURCH ST,GUILFORD,CT,06437-2004,1145078,true,POINT (-72.687703 41.297507)
CVS PHARMACY #1966,1057 BOSTON POST RD,GUILFORD,CT,06437-2644,1676972,false,POINT (-72.684779 41.28782300000001)
WESTPORT POLICE DEPARTMENT,50 JESUP RD,WESTPORT,CT,06880-4309,1210344,true,POINT (-73.361895 41.140788)
BLOOMFIELD POLICE DEPARTMENT,785 PARK AVE,BLOOMFIELD,CT,06002-2444,1234064,true,POINT (-72.733347 41.829045)
PLAINVILLE POLICE DEPARTMENT,19 NEAL CT,PLAINVILLE,CT,06062-1603,1116202,true,POINT (-72.865397 41.673017)
SUFFIELD POLICE DEPARTMENT,911 MOUNTAIN RD,SUFFIELD,CT,06078-3074,1335205,true,POINT (-72.68524800000002 41.985117)
FAIRFIELD POLICE DEPARTMENT,100 REEF RD,FAIRFIELD,CT,06824-5919,1188115,true,POINT (-73.256607 41.139625)
CVS PHARMACY #1080,817 BANK ST,NEW LONDON,CT,06320-3503,1676986,false,POINT (-72.10706 41.348725)
NEW CANAAN POLICE DEPARTMENT,174 SOUTH AVE,NEW CANAAN,CT,06840-5728,1036989,true,POINT (-73.491262 41.140987)
MILFORD POLICE DEPARTMENT,430 BOSTON POST ROAD,MILFORD,CT,06460,1408371,true,POINT (-73.069746 41.227522)
St. Vincent's Outpatient Pharmacy,2800 Main Street,Bridgeport,CT,06606,2002416,false,POINT (-73.202486 41.200083)
WINDSOR LOCKS POLICE DEPARTMENT,4 VOLUNTEER DR,WINDSOR LOCKS,CT,06096-2134,1058663,true,POINT (-72.647637 41.927721)
REDDING POLICE DEPT.,96 HILL RD,REDDING,CT,06896-2007,1057464,true,POINT (-73.382999 41.303853)
UNIVERSITY OF CONNECTICUT POLICE DEPARTMENT,126 NORTH EAGLEVILLE ROAD,STORRS MANSFIELD,CT,06269,1442706,true,POINT (-72.261024 41.809347)
